City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Berbera,SO,2022-01-23 21:01:45,10.4396,45.0143,75.34,73,22,5.53
158,Buchanan,LR,2022-01-23 21:01:45,5.8808,-10.0467,76.96,82,14,6.73
159,Dodoma,TZ,2022-01-23 21:00:08,-6.1722,35.7395,65.53,92,100,1.77
160,Port Lincoln,AU,2022-01-23 21:00:21,-34.7333,135.8667,68.34,95,66,6.89
161,San Anselmo,US,2022-01-23 21:01:46,37.9747,-122.5616,66.34,59,0,1.99
162,Ballina,AU,2022-01-23 21:01:46,-28.8667,153.5667,67.95,90,49,8.9
163,Jiayuguan,CN,2022-01-23 21:01:47,39.8167,98.3,18.28,58,26,0.56
164,Lahij,YE,2022-01-23 21:01:47,13.1667,44.5833,70.12,80,49,5.37
165,Puerto Escondido,MX,2022-01-23 21:01:48,15.85,-97.0667,84.6,51,2,6.85
166,Del Rio,US,2022-01-23 21:01:48,29.3627,-100.8968,53.62,60,100,5.28
167,Derzhavinsk,KZ,2022-01-23 21:01:48,51.1,66.3167,-1.57,91,100,7.63
168,Mount Isa,AU,2022-01-23 21:01:49,-20.7333,139.5,74.97,100,40,1.14
169,Souillac,MU,2022-01-23 21:01:49,-20.5167,57.5167,79.18,89,40,2.3
170,Ambon,ID,2022-01-23 21:01:50,-3.6954,128.1814,75.34,94,40,3.44
171,Ayan,RU,2022-01-23 21:01:50,56.45,138.1667,5.9,63,87,15.05
172,Comodoro Rivadavia,AR,2022-01-23 21:01:51,-45.8667,-67.5,71.8,30,58,28.16
173,Yar-Sale,RU,2022-01-23 21:01:52,66.8333,70.8333,3.22,96,82,10.56
174,Nelson Bay,AU,2022-01-23 21:01:52,-32.7167,152.15,69.96,95,50,2.73
175,Mar Del Plata,AR,2022-01-23 20:59:11,-38.0023,-57.5575,82.42,50,0,8.99
176,Myrtle Beach,US,2022-01-23 20:57:04,33.6891,-78.8867,50.18,68,0,3.0
177,Senno,RU,2022-01-23 21:02:53,59.5336,33.9167,15.26,93,98,7.45
